"gene";"DE_log2_FC";"t.value";"p.value";"adj.p.value"
"IL7";-0.0887222222925179;-0.667670647402624;0.508145656632374;0.598529469463617
"IL7R";-1.01709080674586;-4.51291426081252;5.43165489499092e-05;0.00029761239336441
"IL9R";0.181255155428245;0.671406406591156;0.505788319219102;0.596239514991861
"ILDR1";0.417762332197813;2.89411164344512;0.00610726480817008;0.0155180600814381
"ILDR2";-1.01810689563811;-5.40961109722538;3.11228781972704e-06;2.69196725446494e-05
"ILF2";0.27116755365657;3.64518914787421;0.000755521692016766;0.00268653383781381
"ILF3";-0.0480331523692278;-0.69919588822514;0.488441593677701;0.579928925702482
"ILF3-DT";-0.390688529662783;-3.25704761374154;0.00228598226978329;0.00675555678006012
"ILK";-0.134748830040372;-1.84395978251787;0.0725423629630663;0.121980518794384
"ILKAP";-0.31302470693698;-3.68554134791198;0.000671419232955103;0.00242979659203702
"ILRUN";0.0882850290664655;1.14694285047082;0.258162381278614;0.347236305192685
"ILRUN-AS1";0.14833629906275;1.63185879337291;0.110492270343789;0.172896834599416
"ILVBL";0.070520840540673;0.899177727352934;0.373894025106289;0.468905922422647
"IMMP1L";-0.287231644097315;-2.95251624505523;0.0052339002454692;0.0136285447253278
"IMMP2L";-0.606291287994641;-5.34436440829068;3.84238808705486e-06;3.19573868531723e-05
"IMMT";0.0601546275711044;1.17899566615001;0.245306950794148;0.333146389842244
"IMP3";0.00185038814001111;0.0298661774612857;0.976321049316114;0.983262965803053
"IMP4";0.264446487352097;3.45659760350088;0.00130238546133287;0.0042300651011113
"IMPA1";0.0404741667776891;0.527116334033492;0.600999736339778;0.68171426562295
"IMPA1P1";-3.91068316267627;-8.57320789734963;1.25320338374167e-10;7.63959843029676e-09
"IMPA2";-0.316293695157445;-3.8219814209418;0.000448855957031382;0.00175116130631263
"IMPACT";-0.0963435656830405;-1.0270312396942;0.31052472330231;0.403631781907939
"IMPDH1";0.165905864629922;1.46662153019531;0.150231698699402;0.222499602487939
"IMPDH2";0.353885235855426;5.40458095144616;3.16329518810645e-06;2.7273653850921e-05
"IMPG1";-1.26183613042177;-5.83524465636183;7.8311838051854e-07;8.51631400643302e-06
"IMPG2";0.130001884848522;0.646867070304313;0.521381764796408;0.610762302260423
"INAFM1";-0.341733784163824;-2.48594643744384;0.0171594164923841;0.0367124994870671
"INAFM2";0.225504917900882;3.58703044256926;0.000894792806691694;0.00310075438424579
"INAVA";1.04172114590596;5.60828370660984;1.63590712898338e-06;1.5731222952267e-05
"INCA1";-0.38899481707944;-3.9516536135033;0.000304618958722105;0.00127214567458608
"INCENP";0.120974486914467;1.61463221907365;0.11418595957326;0.177674601029976
"INE1";-0.720651202507597;-4.09856360293423;0.000195306649276646;0.000875804226480709
"INE2";-0.598783544013483;-3.98824715413127;0.000272831401186819;0.00115953345504398
"INF2";-0.626200203943258;-6.29131427175028;1.77849444879515e-07;2.49762481287318e-06
"ING1";0.0434805720775109;0.494982457186821;0.62329780328336;0.701736955616231
"ING2";-0.227495325377986;-2.04062546342301;0.0478695783841312;0.0859277990885022
"ING3";-0.380422385417847;-4.54576087774905;4.90068346945691e-05;0.000273128228077561
"ING4";-0.238707615995245;-2.4662536315635;0.0179978697210237;0.0382006779139682
"ING5";-0.257699721727619;-2.79858710733504;0.00783435733889066;0.019159603025306
"INHBA";-0.804921584712845;-3.31752821012055;0.00193061917250416;0.005863111073837
