gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
MME;-2,19127956287203;0,219138569843582;-9,99951566917743;9,99951566917743;1,87619797440861e-12;3,11484672561334e-10;4311;0;1
ARRB1;-1,38679635607889;0,138723467316066;-9,99684035376096;9,99684035376096;1,89075907668442e-12;3,11484672561334e-10;408;0;1
NPAS2;1,70221397652243;0,170281252156008;9,9964849622018;9,9964849622018;1,89270200341088e-12;3,11484672561334e-10;4862;0;1
LIMD1;-0,826734126579024;0,0828100249288688;-9,98350293082464;9,98350293082464;1,9650820222998e-12;3,16928428556512e-10;8994;0;1
B3GALNT1;-1,44102514729478;0,144705899599073;-9,95830267658286;9,95830267658286;2,11371058676088e-12;3,34214944541956e-10;8706;0;1
AGTPBP1;-0,755018779747637;0,0759376109992873;-9,94261960327832;9,94261960327832;2,21192125230519e-12;3,45033861767573e-10;23287;0;1
CLIC3;-2,04822802199976;0,20604678377489;-9,94059690947414;9,94059690947414;2,22492073560439e-12;3,45033861767573e-10;9022;0;1
IGF1;2,67744807525105;0,269837719310126;9,9224381309488;9,9224381309488;2,34515475321925e-12;3,5519493824969e-10;3479;0;1
GRIA1;-2,84390096256047;0,286640644255717;-9,92148538440827;9,92148538440827;2,35164229864639e-12;3,5519493824969e-10;2890;0;1
RARRES1;2,00211545005832;0,201940436488524;9,91438606785468;9,91438606785468;2,40056102859723e-12;3,5519493824969e-10;5918;0;1
CAPN5;1,50863238186791;0,152785712798816;9,87417183342553;9,87417183342553;2,69783288045595e-12;3,91987826090032e-10;726;0;1
WWC2;-1,52017334649011;0,154554429126809;-9,83584459584034;9,83584459584034;3,01593530386028e-12;4,34294683755881e-10;80014;0;1
TSPAN13;-1,19108136695303;0,121270611610785;-9,82168186613733;9,82168186613733;3,14289667767857e-12;4,48572014315044e-10;27075;0;1
DIO2;3,71011564775089;0,378660092965515;9,79801071376374;9,79801071376374;3,36733252801532e-12;4,76388938700273e-10;1734;0;1
URB1;1,24743774789908;0,127387988013528;9,7924283706138;9,7924283706138;3,42259103757895e-12;4,79996071774551e-10;9875;0;1
NCS1;1,90952497438004;0,195431694869593;9,77080496412938;9,77080496412938;3,64546865216475e-12;4,98255240865364e-10;23413;0;1
CTNNBIP1;-0,873668789204109;0,0897126454327539;-9,73852442974705;9,73852442974705;4,0059293370839e-12;5,38396902904076e-10;56998;0;1
CALU;1,18799696573453;0,122545705581088;9,69431739856797;9,69431739856797;4,55907054037926e-12;5,89257657919235e-10;813;1;1
HYAL1;-1,46795099547039;0,151433178002034;-9,69372111738072;9,69372111738072;4,56703913937899e-12;5,89257657919235e-10;3373;0;1
SLC1A1;-1,51163977731122;0,156027236926616;-9,68830703591955;9,68830703591955;4,64004195784456e-12;5,93925370604103e-10;6505;0;1
