"gene";"Tumor";"log2_FC_estimate";"log2_FC_estimate_SE";"t";"P.Value";"adj.P.Val";"t.value"
"GHR";"BLCA";-3.22462370998843;0.248520430358484;-12.9752861981488;9.73880506612526e-33;9.11633878427642e-31;-12.9752861981488
"RGS2";"BLCA";-3.29611228927965;0.331962216226625;-9.92917906967295;4.60468655996473e-21;1.71217595254689e-19;-9.92917906967295
"STMN1";"BLCA";1.84320348009575;0.233022155569775;7.9099924021767;2.18011658610424e-14;4.41625526583291e-13;7.9099924021767
"EGR1";"BLCA";-3.49342085602792;0.40332804879028;-8.66148750751626;9.39503761761714e-17;2.41385745776244e-15;-8.66148750751626
"SLC35B1";"BLCA";0.950425620473818;0.125306387679471;7.58481381575672;2.06273863015594e-13;3.7212694478797e-12;7.58481381575672
"NUP85";"BLCA";0.951118182114885;0.11832555202259;8.0381470093062;8.82606176313954e-15;1.85181289594649e-13;8.0381470093062
"ZFP36";"BLCA";-2.82703719722183;0.324297513686753;-8.71741866005342;6.17928414748021e-17;1.62826570075138e-15;-8.71741866005342
"TOP2A";"BLCA";3.26425766651763;0.361413898115423;9.0319096292062;5.66536163028112e-18;1.64504405169074e-16;9.0319096292062
"PCNA";"BLCA";1.41528930459754;0.189474968246739;7.46953182097654;4.50031405691577e-13;7.7630417481797e-12;7.46953182097654
"CCNB1";"BLCA";2.60828161738866;0.348284428894158;7.48894122447635;3.94883218821774e-13;6.8470294911247e-12;7.48894122447635
"TPM1";"BLCA";-2.71943453115541;0.329415853369234;-8.25532379010085;1.86237907424542e-15;4.21111592700156e-14;-8.25532379010085
"KIF2C";"BLCA";3.09427678734496;0.433266691499857;7.1417370595311;3.93976952829118e-12;6.06878652539767e-11;7.1417370595311
"SSBP2";"BLCA";-1.59738226542422;0.196682436280666;-8.12163147676675;4.86998941163558e-15;1.04638327871836e-13;-8.12163147676675
"ARID5B";"BLCA";-1.56231328543586;0.204319980886176;-7.64640481395801;1.35480938862268e-13;2.49799979009685e-12;-7.64640481395801
"SLC25A4";"BLCA";-1.37423081966181;0.168012951201083;-8.17931480780363;3.22105096782262e-15;7.01089239923148e-14;-8.17931480780363
"MBNL1";"BLCA";-1.02581668149233;0.138765757009359;-7.39243386553313;7.54543650466993e-13;1.25469829877654e-11;-7.39243386553313
"FZD7";"BLCA";-2.06730579404996;0.217615222641202;-9.49982160695843;1.46204612030408e-19;4.84429439762139e-18;-9.49982160695843
"KIT";"BLCA";-2.49745173562651;0.320918238805711;-7.78220566372515;5.31553934890568e-14;1.03571775435883e-12;-7.78220566372515
"CSRP1";"BLCA";-2.66359202699044;0.260141824710712;-10.2389995532339;3.58520217085142e-22;1.44118667444496e-20;-10.2389995532339
"TIPARP";"BLCA";-1.78180935505219;0.209519324387471;-8.50427214893568;3.02054902960048e-16;7.40532404949306e-15;-8.50427214893568
"RPN1";"BLCA";0.901326876627007;0.104903436799347;8.5919670901823;1.57746051909668e-16;3.99922092966443e-15;8.5919670901823
"GPER1";"BLCA";-2.11297115621475;0.249389215446432;-8.47258431938333;3.81541057995055e-16;9.28601564058511e-15;-8.47258431938333
"NFIL3";"BLCA";-1.6078328027917;0.205392308528694;-7.82810619496533;3.86399926342419e-14;7.62883394398173e-13;-7.82810619496533
"ILK";"BLCA";-1.51451664070523;0.16062232842324;-9.42905420169531;2.56139573267877e-19;8.30189909870169e-18;-9.42905420169531
"PKIG";"BLCA";-1.97604883865552;0.221095285808933;-8.93754397080718;1.16727488857891e-17;3.26885808755592e-16;-8.93754397080718
"MAT2A";"BLCA";-1.15509787873241;0.160650756753444;-7.19011788102048;2.87338122889532e-12;4.46344137197488e-11;-7.19011788102048
"CRTAP";"BLCA";-1.17068773853839;0.158538752457112;-7.38423710540475;7.96974898533928e-13;1.3170748137994e-11;-7.38423710540475
"CDK1";"BLCA";3.25977776827393;0.395331016769479;8.24569191385946;1.99665927570604e-15;4.49198001085732e-14;8.24569191385946
