"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"ABT1";-0,00848634885092192;0,0643148758825584;-0,13195001520983;0,895683528051622;0,923298669424156
"ABTB1";-0,781458802201235;0,100447918189338;-7,77974114633449;1,54747045826987e-09;5,10380440715266e-08
"ABTB2";0,406415041541545;0,136389826913581;2,9798046580047;0,00488025099234399;0,0128015303587089
"ABTB3";0,656696915955674;0,187771467905161;3,49732003100362;0,00116419436960513;0,00383161112314174
"ACAA1";-0,0253446591844051;0,0798210496721832;-0,317518490279105;0,752497318651065;0,809462866351255
"ACAA2";-0,248656995239558;0,0946797729305502;-2,62629479922764;0,0121637085091628;0,0275877219569369
"ACACA";0,17534862529595;0,101231981273455;1,73214653205577;0,0909324325792715;0,147097118619708
"ACACB";-0,729339961814078;0,134371209825088;-5,42779932370533;2,98162629038358e-06;2,50848559266074e-05
"ACAD10";-0,0426288050983242;0,0916898642084986;-0,464923854630085;0,644500222517136;0,719741004622377
"ACAD11";-0,241867214824175;0,137986868782828;-1,75282776511757;0,087272892237294;0,142100880862518
"ACAD8";0,3931876409408;0,0908039681672181;4,330071128794;9,67640358447497e-05;0,000473135439915256
"ACAD9";0,0177008916862375;0,0580071326323724;0,305150261406974;0,761829684421446;0,8171037540965
"ACADL";-2,06848620167194;0,199470856796169;-10,3698667308861;6,49175903057941e-13;1,48428501242046e-10
"ACADM";0,00401601187912005;0,083421558219924;0,0481411755523992;0,96184265171295;0,971723771412332
"ACADS";-0,313504515666486;0,106593129087872;-2,94113249464741;0,0054081870557465;0,0139448430356494
"ACADSB";-0,175834749116065;0,111225679707778;-1,58088266646726;0,121759640449067;0,187076258089221
"ACADVL";0,0945713521648134;0,109315520655457;0,865122826088765;0,392116430350739;0,486203873967611
"ACAN";3,1508163383561;0,385512837738563;8,17305165980708;4,5202051946983e-10;1,90842590000247e-08
"ACAP1";0,201928080229609;0,121668346373063;1,65965993825913;0,104782934677389;0,165501828467039
