gene;DE_log2_FC;std.error;t.value;p.value;adj.p.value;gene_id
ABCB9;-0,545258275047861;0,0349710054438383;-15,5917242906704;2,3943884298898e-50;8,40409697611751e-49;23457
ABCC1;-0,347913885126583;0,0235832459700849;-14,7525868817172;1,22953784708203e-45;2,1485250405126602e-44;4363
ABCC10;-0,630749042517586;0,0388470704471255;-16,2367209485229;4,1831784460655904e-54;3,1540390820659403e-52;89845
ABCC11;-0,101534593201533;0,0176224959923054;-5,76164654801831;1,03997604249815e-08;1,65255633019074e-08;85320
ABCC3;-0,0356940309833818;0,0671417983385474;-0,531621610779662;0,595079609154515;0,614901752089996;8714
ABCC4;0,211026788597744;0,0308104803397899;6,8491885316444;1,14633863117543e-11;2,05292181078986e-11;10257
ABCC5;-0,212313440274942;0,0288241756306538;-7,36581135902989;3,12879428218212e-13;5,96948731017081e-13;10057
ABCC8;-0,700563058616014;0,044675196442539;-15,6812530084131;7,36709525178288e-51;2,85172883880962e-49;6833
ABCC9;0,366065956356456;0,0393658877656138;9,29906518394881;5,85489430387522e-20;1,47331286515624e-19;10060
ABCD2;0,393363249876586;0,0431047735481751;9,12574681402633;2,66582690987369e-19;6,49448871416647e-19;225
ABCD3;0,306731759613255;0,0272649883785475;11,250023486333;4,46769923340146e-28;1,64097766610682e-27;5825
ABCD4;-0,402718207677865;0,0361441293698708;-11,1420088047152;1,35179821369435e-27;4,83535816126206e-27;5826
ABCE1;0,490587248528667;0,0359735998213012;13,6374244158399;1,13191436832088e-39;9,88437394234522e-39;6059
ABCF1;-0,15109231331765;0,0155873600595872;-9,69325868781217;1,70110665037839e-21;4,5611167118970204e-21;23
ABCF2;-0,0229836167173075;0,0135570461341548;-1,69532628936062;0,0902545528794037;0,10115153602083;10061
ABCF3;-0,128426210876192;0,0184815162622085;-6,9489001364461;5,82077397988252e-12;1,0562596546804898e-11;55324
ABCG1;0,0775129045963859;0,0275715428171886;2,81133722223419;0,0050080686859792;0,0061053526925562;9619
ABCG2;-0,474492377338787;0,0545134455350558;-8,70413478145783;9,562521875201929e-18;2,1946904067015e-17;9429
ABCG4;-0,224278305668013;0,0414959560711916;-5,40482319007749;7,71973386127868e-08;1,18183479662328e-07;64137
ABHD1;-0,236683317338263;0,0206877301385083;-11,440758157305;6,13420105489008e-29;2,37634629828592e-28;84696
ABHD10;0,502916628363983;0,0321687880520783;15,6336827968094;1,34657190469546e-50;4,9171009058005096e-49;55347
ABHD11;-0,351278976776342;0,0301229817324306;-11,6614942005609;5,95020558937645e-30;2,42565827856283e-29;83451
ABHD12;-0,121512664422935;0,0177483533619801;-6,84641904207491;1,1676584711529001e-11;2,0904128681099297e-11;26090
ABHD13;0,525630938312122;0,0364671407653255;14,4138237130978;8,7261376837072805e-44;1,1952386738171299e-42;84945
ABHD14A;-0,0581442383553645;0,0279607730350633;-2,07949323441274;0,0377689008017321;0,0434917852264024;25864
