"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"ABHD14A-ACY1";-0,137275931445352;0,0255119876346736;-5,38084030970519;8,79148605742191e-08;1,34338658220279e-07
"ABHD14B";-0,163242405636827;0,0305563963493344;-5,34233172559245;1,08346636406192e-07;1,64940486119951e-07
"ABHD15";-0,0966259953642142;0,0333565120708377;-2,89676555987071;0,00383390620820822;0,00470492024013858
"ABHD16A";-0,170261433947222;0,0205352378679635;-8,29118391722372;2,78360207779573e-16;6,02842332965177e-16
"ABHD16B";-0,614716847178006;0,043553050904942;-14,1142086353416;3,52483594316078e-42;4,03411652637502e-41
"ABHD17A";-0,538672401256781;0,0331643705131968;-16,2425034131865;3,93961265669795e-54;3,01223153647807e-52
"ABHD17B";0,181287218804482;0,027792115591801;6,52297297072136;9,86620721440493e-11;1,70140883835026e-10
"ABHD17C";0,189149847088678;0,0244321933784329;7,74182833931098;1,96566263608253e-14;3,93954980202314e-14
"ABHD18";0,0174832178068092;0,0190627580247434;0,917139995383462;0,359240552936084;0,380573845047016
"ABHD2";0,029756429976337;0,0169239560355381;1,7582431621692;0,0789429380671236;0,0888380796960458
"ABHD3";0,247161213220814;0,0354022782405542;6,98150586641299;4,65863632713564e-12;8,48568965705526e-12
"ABHD4";-0,0716418288409245;0,0330094114318463;-2,17034553884251;0,0301625567504957;0,0349877064984739
"ABHD5";0,217637945984182;0,027619703828403;7,87980737723811;6,92222833800039e-15;1,41290150034684e-14
"ABHD6";-0,00437354735225987;0,0196944204995687;-0,222070375330701;0,824294205340686;0,835836070461344
"ABHD8";-0,192926368546948;0,0321790480691159;-5,99540322425231;2,63077559922431e-09;4,28062857517905e-09
"ABI1";0,351395134395368;0,0238951896609681;14,7056850931532;2,13565173516106e-45;3,62682212292315e-44
"ABI2";0,247142784527262;0,0206003243282031;11,997033667519;1,62607159059052e-31;7,25937552751021e-31
"ABI3";-0,00829493321907439;0,0517904808616425;-0,160163278677296;0,872777517558716;0,881491761299922
"ABI3BP";0,602059660962973;0,0477523095239573;12,6079694776003;1,87056504526423e-34;1,01614484079964e-33
"ABITRAM";0,272114991998148;0,0254345636819104;10,6986302340889;1,17635756498031e-25;3,7967022004101e-25
"ABL1";-0,43265188379359;0,0297644030806167;-14,5358831024346;1,89584508288248e-44;2,82744807873846e-43
"ABL2";0,0644899839246483;0,0138894110340454;4,6431042876168;3,78205820787487e-06;5,38414335432257e-06
"ABLIM1";0,0996800713861258;0,0228751573762161;4,35756876976794;1,41949491553239e-05;1,96982738534088e-05
"ABLIM2";-0,352187780978885;0,0342785512789152;-10,2742901271769;7,42063223742537e-24;2,1997163563653e-23
"ABLIM3";-0,234301999994486;0,0233187885742575;-10,0477775356281;6,37540220263386e-23;1,82093651827596e-22
"ABR";-0,19200953272044;0,0243544292372573;-7,88396766969615;6,70473778345563e-15;1,36936743844192e-14
"ABRAXAS1";0,356188959323709;0,0255193670129098;13,9575938205488;2,43710052780958e-41;2,51684332250519e-40
"ABRAXAS2";0,329943949019209;0,0216544331832259;15,2367852913736;2,42150289052122e-48;6,19098839482396e-47
"ABT1";0,00470745277686092;0,0176726014245107;0,266370109514947;0,789996669089104;0,803164102177735
"ABTB1";-0,461832369625499;0,0346588700350327;-13,3250844346248;4,75330019429973e-38;3,50757802285298e-37
"ABTB2";-0,620105145838979;0,0369257669500801;-16,7932908929772;2,14023100803427e-57;3,52078810069152e-55
"ABTB3";0,244797017729826;0,0441081698428431;5,54992461945339;3,46246438719116e-08;5,3987261857152e-08
