gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
ANKRD11;-0,460793867499256;0,0279009671994982;-16,5153366979889;16,5153366979889;9,58161610930468e-56;1,01037046896348e-53;29123;0;1
MICAL3;-0,532445210946004;0,0322547077736003;-16,5075192955801;16,5075192955801;1,07123234407187e-55;1,11833909971503e-53;57553;0;1
CREG1;0,445712541801506;0,0270083816221599;16,5027489627815;16,5027489627815;1,17266517656777e-55;1,20873576364447e-53;8804;1;1
AP1AR;0,537594542844924;0,03260761649834;16,4867782615234;16,4867782615234;1,42575998383741e-55;1,4512454435485e-53;55435;0;1
LMF1;-0,710200853345405;0,0430946563362858;-16,4800212769632;16,4800212769632;1,57859635314847e-55;1,58697655601086e-53;64788;0;1
RBM19;-0,548181647501497;0,0332705338141059;-16,4764908962501;16,4764908962501;1,60584861300305e-55;1,60446935652563e-53;9904;0;1
NCOR2;-0,658124763464481;0,0400139089238415;-16,4473999457811;16,4473999457811;2,42129490247163e-55;2,36126998692533e-53;9612;0;1
ZC3H7B;-0,408610149590053;0,0248466416869367;-16,4452868415164;16,4452868415164;2,53042148567764e-55;2,45300263784202e-53;23264;0;1
SBF1;-0,566638172658448;0,0344613567696274;-16,4427122369673;16,4427122369673;2,61816692716681e-55;2,52304535951708e-53;6305;0;1
PRDX3;0,510035451966106;0,0310325918063133;16,4354770993489;16,4354770993489;2,8434115502932e-55;2,72398826518089e-53;10935;0;1
RAB1A;0,483200394161931;0,0294104017171828;16,4295747745474;16,4295747745474;2,90859126664762e-55;2,77013551863293e-53;5861;0;1
ADGRL1;-0,546736046645871;0,0332784431480024;-16,4291353478983;16,4291353478983;3,19152045048185e-55;3,02192453817136e-53;22859;0;1
ASIC3;-0,835366350328234;0,0508691403923387;-16,4218688164435;16,4218688164435;3,36615050896608e-55;3,1688512826024e-53;9311;0;1
WIZ;-0,571206027822761;0,0347941385083821;-16,4167314470268;16,4167314470268;3,72618617221864e-55;3,48762459774441e-53;58525;0;1
CLASRP;-0,769399414714429;0,0468807048442781;-16,4118568027105;16,4118568027105;3,92501772825923e-55;3,6527336412817e-53;11129;0;1
CNBP;0,397854044849421;0,0242657756256064;16,3956862944692;16,3956862944692;5,02068180736546e-55;4,5936417929637e-53;7555;0;1
RECQL5;-0,535499287889872;0,0326616271600515;-16,3953646664868;16,3953646664868;5,00304766141234e-55;4,5936417929637e-53;9400;0;1
FBXL18;-0,540207086582421;0,032984266334137;-16,3777202472845;16,3777202472845;6,44063484439767e-55;5,79514801524091e-53;80028;0;1
CAPZA2;0,634694672112015;0,0387539773300468;16,3775363417969;16,3775363417969;5,93785973937914e-55;5,40245719081166e-53;830;0;1
SPHK2;-0,507806550277735;0,0310344562256902;-16,3626694982133;16,3626694982133;7,66784038277438e-55;6,86145321284965e-53;56848;0;1
SYMPK;-0,473014731329028;0,0289294632161347;-16,3506224707694;16,3506224707694;9,08831356525867e-55;8,08810244392364e-53;8189;0;1
SMG6;-0,344270990900985;0,0210664915009531;-16,3421132980501;16,3421132980501;9,82791278356881e-55;8,69877106484791e-53;23293;0;1
KMT2B;-0,664155463335957;0,0406922592038837;-16,3214202487084;16,3214202487084;1,31087044153233e-54;1,13557638355295e-52;9757;0;1
ZNF324;-0,424470694329392;0,0260180642903343;-16,3144609680699;16,3144609680699;1,48708306105555e-54;1,25485154053631e-52;25799;0;1
CSNK1G2;-0,500620890113731;0,0306985903181584;-16,3076181976216;16,3076181976216;1,61399323620529e-54;1,35492236313605e-52;1455;0;1
CRYBB2P1;-0,374085146966366;0,0229848393892222;-16,2752995847245;16,2752995847245;2,41591499732414e-54;1,93820648504537e-52;1416;0;1
ARL2BP;0,284874696454066;0,0175298706594356;16,2508156499563;16,2508156499563;3,53112595733773e-54;2,75157499240202e-52;23568;0;1
SZT2;-0,5764399558093;0,0354718733038361;-16,2506206219157;16,2506206219157;3,47756390092413e-54;2,72286565819473e-52;23334;0;1
