gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
ATF6;0,271852589738713;0,0203143511131302;13,3822925588305;13,3822925588305;2,42922962824705e-38;1,84182652353964e-37;22926;1;1
OXCT1;0,423276049651543;0,0316461707402938;13,3752691004919;13,3752691004919;2,62951654711521e-38;1,98628508749157e-37;5019;1;1
EAPP;0,309979860258767;0,0231771448869549;13,3743764286186;13,3743764286186;2,6355439590184e-38;1,98899299891444e-37;55837;1;1
SDHB;0,292333685508623;0,021880436566306;13,3605051536674;13,3605051536674;3,01944802226663e-38;2,27030150002929e-37;6390;1;1
DCUN1D4;0,335073742720656;0,0251117313885906;13,3433150241841;13,3433150241841;3,78178237067128e-38;2,81619148096719e-37;23142;1;1
DNTTIP2;0,331285176983425;0,0248359530679743;13,3389355373929;13,3389355373929;3,99523146808977e-38;2,96970970740803e-37;30836;1;1
HACD3;0,383950799545835;0,0288195509065739;13,3225809378679;13,3225809378679;4,8751107966949e-38;3,59095678131946e-37;51495;1;1
AKT1;-0,323577222414664;0,0242949826571811;-13,3186850544642;13,3186850544642;5,07310603545178e-38;3,73004988231909e-37;207;1;1
CTSL;0,340501442143929;0,0256020704997331;13,2997619136889;13,2997619136889;6,42229574637172e-38;4,67770610578756e-37;1514;1;1
HSD17B11;0,427247269076555;0,0321493043792106;13,2894716488123;13,2894716488123;7,27139591052457e-38;5,27022491316436e-37;51170;1;1
TXLNA;-0,283566379503848;0,0214140965214306;-13,242042652608;13,242042652608;1,25896257043955e-37;8,94176381255063e-37;200081;1;1
AMDHD2;-0,567043186744684;0,0428607834029814;-13,2298838640742;13,2298838640742;1,4334258881276e-37;1,011033954701e-36;51005;1;1
LYPLA1;0,436306727979742;0,0329849904007656;13,2274323162943;13,2274323162943;1,49128088081536e-37;1,04956786624714e-36;10434;1;1
RAD9A;-0,432530619475294;0,0327324747766205;-13,2141129696748;13,2141129696748;1,72881306948658e-37;1,20994626771201e-36;5883;1;1
EPN2;-0,344577727626582;0,0260872532879933;-13,2086626300812;13,2086626300812;1,84971178649831e-37;1,29233831638402e-36;22905;1;1
GOLT1B;0,567012017867241;0,0429898376492426;13,1894431073114;13,1894431073114;2,29768470897534e-37;1,59778365373067e-36;51026;1;1
SLC5A6;-0,476505214763297;0,0361957532902836;-13,1646718592043;13,1646718592043;3,07778569658286e-37;2,11675751074951e-36;8884;1;1
RAB4A;0,303127188250356;0,0230267039591034;13,1641588300577;13,1641588300577;3,12159658079202e-37;2,1450768740413e-36;5867;1;1
KDELR2;0,254923127941339;0,0194812904342205;13,0855360327437;13,0855360327437;7,86760650537537e-37;5,19172769637534e-36;11014;1;1
MOK;-0,442349107634587;0,0338343416486781;-13,0739682251766;13,0739682251766;8,98952319331724e-37;5,9081265022746e-36;5891;1;1
CDC25B;-0,399581249723422;0,0305983870408452;-13,0588991239972;13,0588991239972;1,05778795921088e-36;6,92395457970847e-36;994;1;1
GTF2A2;0,351733072439696;0,0269532485091029;13,0497469468627;13,0497469468627;1,20600711539761e-36;7,84073128996626e-36;2958;1;1
RFNG;-0,457258287090019;0,0351919531430889;-12,9932625572337;12,9932625572337;2,26306862249705e-36;1,43187006938566e-35;5986;1;1
MFSD10;-0,483820775520104;0,0373113699446421;-12,9671136770892;12,9671136770892;3,0563135831295e-36;1,91369177296605e-35;10227;1;1
LSM5;0,397094022735837;0,0306707165626282;12,9470083271446;12,9470083271446;3,8658008483294e-36;2,3993305112764e-35;23658;1;1
ACD;-0,346092406517088;0,0268374772040784;-12,8958621514728;12,8958621514728;6,95855338531218e-36;4,24127995633212e-35;65057;1;1
LYRM1;0,220090489133845;0,0171018020631493;12,8694326083971;12,8694326083971;9,33109499999885e-36;5,63046362245207e-35;57149;1;1
CHN1;0,582608842947346;0,0453332855702464;12,8516791937474;12,8516791937474;1,16979227200353e-35;6,99384616073769e-35;1123;1;1
BNIP3L;0,391722177974163;0,0304883108400728;12,848274213319;12,848274213319;1,1980363809572e-35;7,1522069282511e-35;665;1;1
TCTA;-0,272149189188759;0,0212066830992787;-12,833180366524;12,833180366524;1,4393973171432e-35;8,53678976948078e-35;6988;1;1
NUDT9;0,316966028338601;0,0247452302883824;12,8091767441507;12,8091767441507;1,84715629123318e-35;1,08798507627572e-34;53343;1;1
REEP5;0,469629133118367;0,0367097818405097;12,7930243540735;12,7930243540735;2,27152567583232e-35;1,32833275248133e-34;7905;1;1
MICALL1;-0,578056671967882;0,0452324502437519;-12,7796895559009;12,7796895559009;2,6564598393411e-35;1,5440080279625e-34;85377;1;1
TOPBP1;0,25985969691402;0,0203762104862226;12,7530924893873;12,7530924893873;3,56795248012403e-35;2,05662075583049e-34;11073;1;1
DHDDS;-0,257144123359443;0,0201687637577266;-12,7496224581902;12,7496224581902;3,74061070713463e-35;2,15111532402523e-34;79947;1;1
LIG1;-0,45101910427438;0,0353893571247088;-12,744484243809;12,744484243809;3,9315344366795e-35;2,25137024738968e-34;3978;1;1
CHMP6;-0,408765796874764;0,0320966869643384;-12,7354513981126;12,7354513981126;4,36884385799275e-35;2,49339352222258e-34;79643;1;1
CISD1;0,625807595932896;0,0491550382242043;12,7313011756492;12,7313011756492;4,59252394256368e-35;2,61516940309762e-34;55847;1;1
LSR;-0,647706686967385;0,0511593415006757;-12,6605751358006;12,6605751358006;1,02058140901259e-34;5,66502686679584e-34;51599;1;1
RHOA;0,257771136029925;0,020371816548035;12,6533210929974;12,6533210929974;1,12101604129075e-34;6,19927580592908e-34;387;1;1
SPAG4;-0,638275953710089;0,0505374800767754;-12,6297542485386;12,6297542485386;1,44818877455121e-34;7,92779912011462e-34;6676;1;1
PPARG;0,388940052416561;0,0308102812524097;12,623709898336;12,623709898336;1,55305473883449e-34;8,47338340926586e-34;5468;1;1
